,MCF7_P1,MCF7_P2,MCF7_P3,MCF7_FasR1,MCF7_FasR2,MCF7_FasR3
KIAA1377,0.485426827,0.757023247,0.526068812,0.042644337,0.014355293,0.028569152
KIAA1407,1.201633861,1.056583528,0.941106311,1.137503524,1.10433666,0.782408565
KIAA1429,5.142413438,5.387500406,5.373996142,5.943921327,6.602439064,6.023477152
KIAA1456,0.367371066,0.298658316,0.286881148,0,0,0
KIAA1462,0.275007047,0.344828497,0.310340121,0.137503524,0.163498732,0.189033824
KIAA1467,4.197708158,4.336997417,3.98458935,3.435628594,2.100977648,2.575312331
KIAA1468,3.795974694,3.737686761,3.638073837,3.363171077,2.435628594,3.182692298
KIAA1522,5.771885579,6.035183997,6.003602237,6.181301365,5.496654083,5.977966758
KIAA1524,4.551516018,4.787641414,4.580145484,3.257010618,2.847996907,3.047887329
KIAA1549,2.817623258,2.794935663,2.790772038,2.857980995,1.646162657,2.289834465
KIAA1549L,0.070389328,0.137503524,0.070389328,0.028569152,0,0.042644337
KIAA1551,3.516015147,3.74092756,3.564378169,2.709290636,3.294253136,2.821710215
KIAA1586,3.270528942,3.388189537,3.260025656,3.489286023,3.22342255,3.64385619
KIAA1598,5.415150205,5.365622556,5.116447936,4.474436043,4.307428525,4.263785614
KIAA1614,0.014355293,0.028569152,0.070389328,0.201633861,0,0
KIAA1614-AS1,1.22650853,0.713695815,0.443606651,0.970853654,0.321928095,0.545968369
KIAA1644,0.014355293,0,0.014355293,0,0,0
KIAA1656,0.992768431,0.86393845,1.097610797,1.327687364,1.220329955,1.275007047
KIAA1671,2.629939409,2.655351829,2.641546029,2.575312331,1.855989697,2.344828497
KIAA1683,2.40053793,1.137503524,1.042644337,2.724650272,1.257010618,1.448900951
KIAA1715,3.905928478,3.688180359,3.659924558,3.690417096,2.757023247,2.996388746
KIAA1731,2.545968369,2.794935663,2.550900665,3.23878686,3.321928095,3.137503524
KIAA1731NL,0.111031312,0,0,0.014355293,0,0
KIAA1751,0,0,0.042644337,0.014355293,0,0
KIAA1755,0,0,0,0,0,0
KIAA1841,2.454175893,2.596935142,2.364572432,2.5360529,2.166715445,2.464668267
KIAA1875,3.896271849,2.715893371,2.805292456,2.475084883,1.361768359,1.879705766
KIAA1919,1.063502942,1.10433666,0.871843649,0.918386234,0.992768431,0.704871964
KIAA1958,1.622930351,1.82374936,1.887525271,1.613531653,1.13093087,1.14404637
KIAA2013,5.026357447,5.075960413,5.252476214,4.882643049,4.165107985,4.619413011
KIAA2018,1.5360529,2.477677328,2.269033146,1.937344392,2.40053793,2.275007047
KIAA2022,0.176322773,0.23878686,0.150559677,0.189033824,0.084064265,0.111031312
KIAA2026,2.107687869,2.292781749,2.15704371,2.786596362,1.918386234,2.424922088
KIDINS220,3.758089934,3.687060688,3.547203025,4.493775408,3.709290636,3.842978832
KIF11,4.967168608,5.287250643,5.118110506,4.917909074,4.482202926,4.731183242
KIF12,5.230356745,4.447579197,4.340562269,1.321928095,0.963474124,1.339137385
KIF13A,3.432959407,3.56924803,3.3950628,3.305970521,2.56315813,2.895302621
KIF13B,0.948600847,1.521050737,1.516015147,1.03562391,0.82374936,1.15704371
KIF14,3.781359714,4.099295204,3.842978832,4.100977648,3.343407822,3.665620164
KIF15,3.260025656,3.820689561,3.812498225,3.754887502,3.694880193,4.017921908
KIF16B,2.513490746,2.589763487,2.521050737,3.150559677,2.634593268,3.166715445
KIF17,0.50589093,0.084064265,0.014355293,0.111031312,0.084064265,0.056583528
KIF18A,3.09423607,3.388189537,3.295723025,3.301587647,3.13093087,3.181102551
KIF18B,3.780310099,4.112700133,3.944858446,4.605849867,4.051372102,4.377123749
KIF19,0,0,0,0,0,0
KIF1A,0.454175893,0.250961574,0.321928095,0.722466024,0.454175893,0.40053793
KIF1B,2.972692654,3.169925001,3.117695043,2.372952098,1.906890596,2.042644337
KIF1C,6.711632562,6.630958725,6.655924213,5.352617299,4.099295204,5.174326515
KIF20A,5.879705766,6.14363831,6.122672719,5.692092375,5.768713657,5.674121633
KIF20B,3.367371066,3.722466024,3.554588852,3.700439718,3.498250868,3.614709844
KIF21A,4.253989266,4.200064862,4.022367813,4.980482356,3.750606505,4.331275267
KIF21B,0.137503524,0.214124805,0.189033824,0.124328135,0.056583528,0.042644337
KIF22,7.280028357,7.479295243,7.516487981,7.143536277,7.096557042,7.187154091
KIF23,5.879705766,6.116031993,6.09824268,5.114783447,4.902073579,5.229587923
KIF24,1.646162657,1.879705766,1.807354922,1.627606838,1.250961574,1.580145484
KIF25,0.310340121,0.042644337,0,0.189033824,0,0.124328135
KIF25-AS1,0,0,0,0,0,0
KIF26A,3.092545742,3.189033824,3.403267722,2.655351829,1.422233001,2.482848283
KIF26B,0.014355293,0.028569152,0.028569152,0.014355293,0,0
KIF27,2.12763328,1.807354922,1.704871964,1.641546029,1.495695163,1.475084883
KIF28P,0,0,0,0,0,0
KIF2A,4.379898164,4.553360503,4.411426246,3.754887502,2.397802962,3.243364426
KIF2B,0,0,0,0,0,0
KIF2C,4.8928767,5.334139179,5.309612772,5.13873257,4.786073552,5.141596278
KIF3A,2.9202933,2.871843649,2.592158002,2.813524689,1.97819563,2.510961919
KIF3B,3.384049807,3.500802053,3.401903472,2.577730931,1.895302621,2.295723025
KIF3C,3.363171077,3.676944359,3.797012978,3.527320608,2.451540833,3.243364426
KIF4A,3.918386234,4.10349764,4.060047384,3.745237332,3.099295204,3.736604875
KIF4B,0.070389328,0.042644337,0.014355293,0,0.042644337,0.014355293
KIF4CP,0,0,0,0,0,0
KIF5A,0.056583528,0.028569152,0.070389328,0.042644337,0.028569152,0.014355293
KIF5B,5.581351247,5.715893371,5.573798644,5.507160349,4.985044962,5.358958826
KIF5C,3.195347598,2.941106311,2.904965719,2.948600847,1.887525271,2.042644337
KIF6,0.516015147,0.422233001,0.575312331,0.150559677,0.028569152,0.084064265
KIF7,1,0.98550043,1.195347598,1.66448284,1.627606838,1.669026766
KIF9,2.87774425,2.843983844,2.782408565,2.40599236,2.298658316,2.480265122
KIF9-AS1,0.731183242,0.464668267,0.495695163,0.495695163,0.443606651,0.40053793
KIFAP3,2.541019153,2.584962501,2.247927513,2.480265122,2.087462841,2.025028794
KIFC1,5.87282876,6.049630768,6.051807107,5.899659026,5.335211682,5.677790101
KIFC2,7.363521544,6.584661908,6.740792672,6.927066808,6.238595812,6.547819957
KIFC3,1.790772038,1.475084883,1.3950628,4.994127114,4.575917361,4.886062338
KIN,3.560714954,3.843983844,3.605257263,3.682573297,4.009884589,3.777156666
KIR2DL1,0,0,0,0,0,0
KIR2DL3,0,0,0,0,0,0
KIR2DL4,0,0,0,0,0,0
KIR2DP1,0,0,0,0,0,0
KIR2DS4,0,0,0,0,0,0
KIR3DL1,0,0,0,0,0,0
KIR3DL2,0,0,0,0,0,0
KIR3DL3,0,0,0,0,0,0
KIR3DP1,0,0,0,0,0,0
KIR3DX1,0,0,0,0,0,0.014355293
KIRREL,0,0,0,0,0,0
KIRREL-IT1,0,0,0,0,0,0
KIRREL2,0.028569152,0,0,0,0,0
KIRREL3,0.124328135,0,0,0,0,0
KIRREL3-AS1,0,0,0,0,0,0
KIRREL3-AS2,0,0,0,0,0,0
KIRREL3-AS3,0,0,0,0,0,0
KISS1,0.389566812,0.565597176,0.748461233,1.622930351,1.541019153,1.709290636
KISS1R,0.056583528,0,0,0,0,0
KIT,0.070389328,0.084064265,0.014355293,0,0,0
KITLG,4.299391206,4.506525779,3.9202933,2.367371066,1.782408565,2.014355293
KIZ,2.384049807,2.124328135,2.140778656,3.125981654,2.516015147,2.565597176
KIZ-AS1,0,0,0,0,0,0
KL,0,0,0.014355293,0.014355293,0,0
KLB,0.495695163,0.250961574,0.411426246,0.432959407,0.23878686,0.333423734
KLC1,6.788685711,6.86727874,6.938285792,5.853496704,5.488000771,5.924575003
KLC2,6.021479727,6.002027365,6.132988043,5.41379715,4.727920455,5.153400028
KLC3,1.815575429,1.811471031,2.14404637,1.443606651,0.731183242,1.23878686
KLC4,4.211790976,3.991861931,4.062639828,4.289834465,3.491853096,3.760220946
KLF1,0.189033824,0.214124805,0.176322773,0.097610797,0,0.042644337
KLF10,5.289465631,5.06608919,5.032982417,5.46662712,4.077242999,4.156234798
KLF11,2.90303827,2.653060017,2.316145742,4.373648211,2.698218478,3.054848477
KLF12,0.495695163,0.695993813,0.86393845,0.411426246,0.275007047,0.367371066
KLF13,2.211012193,2.472487771,2.336283388,3.401903472,3.117695043,3.500802053
KLF14,0.042644337,0.056583528,0.070389328,0.070389328,0,0.028569152
KLF15,0.432959407,0.286881148,0.516015147,0.176322773,0.042644337,0.084064265
KLF16,4.111031312,4.193771743,4.242602506,3.722466024,3.476381688,3.942983598
KLF17,0.014355293,0,0,0,0,0
KLF17P1,0,0,0,0,0,0
KLF17P2,0,0,0,0.298658316,0,0.526068812
KLF2,1.063502942,0.722466024,0.98550043,2.039138394,1.560714954,1.475084883
KLF2P1,0.056583528,0.176322773,0.097610797,0.22650853,0,0.111031312
KLF2P2,0,0,0,0,0,0
KLF2P3,0.097610797,0.163498732,0,0.097610797,0,0.070389328
KLF2P4,0.124328135,0.042644337,0.084064265,0.056583528,0.042644337,0.214124805
KLF3,2.472487771,3.066950244,2.596935142,2.419538892,1.739848103,2.032100843
KLF3-AS1,0.422233001,0.310340121,0.214124805,0.641546029,0.097610797,0.150559677
KLF3P1,0,0,0.056583528,0.097610797,0.056583528,0.042644337
KLF3P2,0,0,0,0,0,0
KLF4,4.831877241,3.418189948,3.625270489,3.548436625,2.580145484,2.746312766
KLF4P1,0,0,0,0,0,0
KLF5,2.737686761,2.739848103,2.809414444,2.689299161,1.887525271,2.117695043
KLF6,4.290571851,3.765534746,3.642701572,4.240314329,3.073820233,3.168321116
KLF7,1.367371066,1.03562391,1.201633861,1.790772038,0.757023247,0.871843649
KLF7-IT1,0.189033824,0.097610797,0,0.056583528,0,0.070389328
KLF7P1,0,0,0,0,0,0
KLF8,0.687060688,0.650764559,0.201633861,0.757023247,0.485426827,0.367371066
KLF8P1,0,0,0,0,0,0
KLF9,2.15704371,2.107687869,1.956056652,0.963474124,0.422233001,0.641546029
KLHDC1,0.378511623,0.40053793,0.839959587,0.773996325,0.831877241,0.555816155
KLHDC10,3.593353771,3.887525271,3.509695842,3.054848477,2.704871964,2.90303827
KLHDC2,5.838447593,5.897482468,5.823239844,5.221103725,4.607626221,4.956985925
KLHDC3,6.297191417,6.818134761,6.851998837,6.56924803,6.401220862,6.703073006
KLHDC4,5.953032377,5.930973826,6.054197294,5.648177796,5.156639311,5.592158002
KLHDC7A,0.422233001,0.298658316,0.378511623,0.925999419,0.321928095,0.5360529
KLHDC7B,0.097610797,0,0,0.50589093,0.097610797,0.263034406
KLHDC8A,0.22650853,0.097610797,0.344828497,0.163498732,0.111031312,0.084064265
KLHDC8B,1.883620816,2.097610797,2.097610797,0.298658316,0.367371066,0.310340121
KLHDC9,3.534808661,3.538538164,3.553360503,2.622930351,2.572889668,2.702657543
KLHL1,0,0,0,0,0,0
KLHL10,0.150559677,0.084064265,0.084064265,0.042644337,0.028569152,0
KLHL11,1.40053793,1.464668267,1.111031312,1.565597176,0.344828497,0.731183242
KLHL12,5.278356528,5.177519203,4.916476644,5.463687842,5.129695157,5.250203656
KLHL13,0.298658316,0.687060688,0.495695163,0.014355293,0.014355293,0.014355293
KLHL14,0,0.028569152,0.028569152,0,0,0
KLHL15,0.782408565,0.790772038,0.650764559,1.510961919,1.056583528,1.111031312
KLHL17,4.77925972,4.642123916,4.720278465,4.558267634,3.862947248,4.316869805
KLHL18,3.797012978,3.994579724,3.75595577,3.724650272,3.826802684,3.853995647
KLHL2,2.214124805,2.451540833,2.432959407,2.163498732,1.580145484,1.879705766
KLHL20,3.314696526,3.40053793,3.275007047,2.693765712,1.859969548,2.424922088
KLHL21,3.217230716,2.965322548,3.375734539,3.358958826,2.568032105,3.148934105
KLHL22,4.305970521,4.169925001,4.183486514,4.022367813,3.576522138,4.052241981
KLHL23,2.857980995,3.100977648,3.075532631,2.82374936,2.629939409,2.464668267
KLHL24,1.992768431,2.3950628,1.361768359,1.90303827,1.35614381,1.292781749
KLHL25,2.937344392,3.187451054,3.301587647,2.671293372,2.17951105,2.715893371
KLHL26,2.295723025,2.316145742,2.839959587,2.03562391,1.40053793,1.790772038
KLHL28,2.773996325,3.019701914,2.86393845,2.277984747,1.608809243,1.580145484
KLHL29,0.782408565,0.604071324,0.839959587,0.298658316,0.201633861,0.35614381
KLHL2P1,0.50589093,0.555816155,0.485426827,0.275007047,0.35614381,0.097610797
KLHL3,0.014355293,0,0,0,0,0.014355293
KLHL30,0.028569152,0.014355293,0,0.014355293,0,0
KLHL30-AS1,0.014355293,0,0,0,0,0
KLHL31,0.604071324,0.189033824,0.23878686,0.956056652,0.485426827,0.516015147
KLHL32,0,0.014355293,0.084064265,0.014355293,0,0
KLHL33,0,0,0,0,0,0
KLHL34,0,0,0,0,0,0
KLHL35,1.713695815,1.906890596,1.744161096,2.13093087,1.867896464,2.13422094
KLHL36,5.312519967,5.383358695,5.55059289,4.700439718,3.584962501,4.116863758
KLHL38,0,0.056583528,0.028569152,0.056583528,0,0.042644337
KLHL4,0.014355293,0.014355293,0.014355293,0,0,0
KLHL40,0,0,0,0,0,0
KLHL41,0.084064265,0.124328135,0,0.189033824,0.250961574,0.333423734
KLHL42,3.780310099,3.932628157,3.705977902,3.780310099,2.969012308,3.241840184
KLHL5,3.331991778,3.750606505,3.915520901,1.608809243,1.286881148,2.09085343
KLHL6,0,0,0,0,0,0
KLHL6-AS1,0,0,0,0,0,0
KLHL7,3.339137385,3.440952198,3.56193706,4.348374075,4.432959407,4.351910961
KLHL7-AS1,0.111031312,0.070389328,0.084064265,0.344828497,0.137503524,0.189033824
KLHL8,2.904965719,3.066950244,2.837943242,2.933572638,2.604071324,2.98550043
KLHL9,2.451540833,2.831877241,2.454175893,2.336283388,1.895302621,2.22342255
KLK1,0,0,0,0,0,0
KLK10,0,0,0,0,0,0
KLK11,0.286881148,0.150559677,0.201633861,0,0,0
KLK12,0.163498732,0.189033824,0.070389328,0,0,0
KLK13,0,0,0,0,0,0
KLK14,0.5360529,0.22650853,0.286881148,1.650764559,1.280956314,1.09085343
KLK15,0,0,0.042644337,0.111031312,0,0
KLK2,0,0,0,0,0,0
KLK3,0,0,0,0.028569152,0,0.056583528
KLK4,0,0,0,0,0.042644337,0.367371066
KLK5,0.097610797,0.176322773,0.042644337,0.056583528,0.124328135,0.176322773
KLK6,1.063502942,0.40053793,0.871843649,0,0,0
KLK7,0,0,0,0,0,0
KLK8,0.124328135,0.321928095,0,0.097610797,0,0.111031312
KLK9,0,0,0,0,0,0
KLKB1,0.084064265,0.214124805,0,0.042644337,0,0
KLKP1,0,0,0,0,0,0
KLLN,0.669026766,0.839959587,0.839959587,1.15704371,0.739848103,0.871843649
KLRAP1,1.137503524,1.269033146,0.782408565,1.937344392,1.914564523,1.565597176
KLRB1,0,0,0,0,0,0
KLRC1,0,0,0,0,0,0
KLRC2,0,0,0,0.124328135,0.23878686,0.097610797
KLRC3,0,0.056583528,0,0.042644337,0,0.084064265
KLRC4,0,0,0,0,0,0
KLRC4-KLRK1,0,0,0,0,0,0
KLRD1,0,0,0,0,0.014355293,0
KLRF1,0,0,0,0,0,0
KLRF2,0,0,0,0,0,0
KLRG1,0.422233001,0.298658316,0.389566812,0.454175893,0.298658316,0.321928095
KLRG2,1.871843649,1.464668267,1.454175893,0.584962501,0.163498732,0.137503524
KLRK1,0,0,0,0,0,0
KMO,0.201633861,0.028569152,0.344828497,2.754887502,2.568032105,2.182692298
KMT2A,3.447579197,4.087462841,3.860962798,2.778208576,1.819668183,2.220329955
KMT2B,4.017031081,3.894332742,3.915520901,5.037382222,4.886550147,5.302319051
KMT2C,2.778208576,3.478971805,3.250961574,3.292781749,2.625270489,2.97819563
KMT2D,4.450881315,4.875288598,4.822730148,5.582254908,4.781884235,5.423914268
KMT2E,3.759155834,4.040015679,3.822730148,3.802193217,3.040892431,3.270528942
KMT2E-AS1,2.140778656,2.414135533,2.353323291,1.713695815,2.003602237,1.790772038
KNCN,0,0,0,0,0,0
KNDC1,2.792855352,2.684818738,2.754887502,0.669026766,0.250961574,0.333423734
KNG1,0,0,0,0.014355293,0,0.070389328
KNOP1,5.576824431,5.794935663,5.74092756,4.241077458,4.23878686,4.453517579
KNOP1P1,0,0,0,0,0,0
KNOP1P2,0,0,0.042644337,0,0,0
KNOP1P3,0,0,0,0,0,0
KNOP1P4,0,0,0,0,0,0
KNOP1P5,0,0,0,0,0,0
KNSTRN,5.522306893,5.871350841,5.704595348,5.385431037,5.520422249,5.560714954
KNTC1,5.704318678,5.326609251,5.26190686,5.709566354,5.616181231,5.447579197
KPNA1,6.073820233,6.226893814,6.029011087,5.457462965,4.684257705,5.050066298
KPNA2,8.68267863,8.944009207,8.818486314,8.38383387,8.716613715,8.464872438
KPNA3,4.560714954,4.752748591,4.606442228,2.904965719,2.272023189,2.873813198
KPNA4,3.876762491,4.164303583,4.143230135,3.344828497,2.82374936,3.192194165
KPNA5,1.974529312,1.867896464,1.622930351,1.807354922,1.244887059,1.124328135
KPNA6,3.950468414,3.945794957,3.718087584,3.447579197,2.869871406,3.317593505
KPNA7,0.150559677,0.056583528,0.028569152,0.014355293,0.028569152,0.028569152
KPNB1,7.748327048,7.930145948,7.836366009,7.725263996,7.567271631,7.962201957
KPRP,0,0.014355293,0,0,0,0
KPTN,3.613531653,3.722466024,3.850999395,4.095080492,3.766595162,3.867896464
KRAS,3.593353771,4.04176865,3.862947248,4.196921734,3.576522138,3.695993813
KRASP1,0,0,0,0,0,0
KRBA1,1.687060688,1.819668183,2.195347598,2.498250868,1.589763487,2.541019153
KRBA2,0.97819563,1.292781749,1.070389328,0.879705766,0.422233001,0.739848103
KRBOX1,0.124328135,0,0,0,0,0
KRBOX1-AS1,0,0,0,0,0,0
KRBOX4,2.347665656,2.292781749,2.217230716,2.837943242,2.817623258,2.702657543
KRCC1,4.268284667,4.685940148,4.439623138,4.500164679,4.798569004,4.711494907
KREMEN1,2.389566812,2.555816155,2.419538892,2.021479727,1.35614381,1.604071324
KREMEN2,4.950468414,4.684257705,4.6622055,4.14974712,3.460742564,4.339137385
KRI1,5.242221395,4.998195503,5.11727946,4.87036472,4.448900951,4.752748591
KRIT1,4.318316841,4.491853096,4.314696526,6.080444483,5.584962501,5.771885579
KRR1,6.465974465,6.551362204,6.374865602,6.198886991,6.132988043,6.069100632
KRR1P1,0,0,0,0,0,0
KRT1,0.014355293,0.111031312,0.014355293,0.070389328,0,0.084064265
KRT10,3.107687869,3.388189537,3.426264755,3.277984747,3.66448284,3.575312331
KRT12,0,0,0,0,0,0
KRT123P,1.35614381,0.50589093,0.782408565,0.137503524,0.250961574,0.321928095
KRT125P,0,0,0,0,0,0
KRT126P,0,0,0,0,0,0
KRT127P,0,0,0,0,0,0
KRT128P,0,0,0,0,0,0
KRT13,5.65047737,5,5.591858905,1.207892852,0.956056652,1.443606651
KRT14,0,0,0.028569152,0,0,0.056583528
KRT15,5.097189387,4.757023247,4.568640195,2.032100843,1.565597176,1.516015147
KRT16,0.879705766,0.748461233,0.659924558,0.097610797,0.028569152,0.137503524
KRT16P1,0,0,0,0,0,0
KRT16P2,0,0,0.111031312,0,0,0
KRT16P3,0,0,0,0,0,0
KRT16P4,0,0,0,0,0,0
KRT16P5,0,0,0,0,0,0
KRT16P6,0,0,0,0.014355293,0,0
KRT17,1.124328135,0.59454855,0.59454855,0.250961574,0,0.070389328
KRT17P1,0,0,0,0,0,0
KRT17P2,0.070389328,0,0,0.042644337,0,0
KRT17P3,0,0,0,0,0,0
KRT17P4,0,0,0,0,0,0
KRT17P5,0,0,0,0,0,0
KRT17P6,0,0,0,0,0,0
KRT17P7,0,0,0,0,0,0
KRT17P8,0,0,0,0,0,0
KRT18,12.40739259,12.73408508,12.60839114,12.37078002,12.63432326,12.54030727
KRT18P1,0,0,0,0,0,0
KRT18P10,0.378511623,0.632268215,0.201633861,0.545968369,0.23878686,0.344828497
KRT18P11,0.622930351,0.641546029,0.815575429,0.555816155,0.575312331,0.807354922
KRT18P12,0,0,0,0,0,0
KRT18P13,0.042644337,0.084064265,0,0.042644337,0.084064265,0.084064265
KRT18P14,0,0,0,0,0,0
KRT18P15,0.731183242,0.765534746,0.604071324,0.650764559,0.704871964,0.516015147
KRT18P16,0.028569152,0.042644337,0.042644337,0.111031312,0.084064265,0.070389328
KRT18P17,0.871843649,0.941106311,0.659924558,0.411426246,0.565597176,0.604071324
KRT18P18,0,0.042644337,0,0,0,0.028569152
KRT18P19,0.163498732,0,0,0.042644337,0,0
KRT18P2,0,0,0,0.028569152,0.042644337,0.028569152
KRT18P20,0,0,0,0,0.042644337,0
KRT18P21,0.042644337,0,0.042644337,0.042644337,0,0
KRT18P22,0,0,0,0,0,0
KRT18P23,0.042644337,0,0,0,0,0
KRT18P24,0,0,0,0,0,0
KRT18P25,0,0,0,0.097610797,0.042644337,0
KRT18P26,0,0,0,0,0,0
KRT18P27,0,0,0,0.028569152,0,0
KRT18P28,0.298658316,0.189033824,0.176322773,0.176322773,0.344828497,0.111031312
KRT18P29,0.263034406,0.432959407,0.22650853,0.201633861,0.250961574,0.321928095
KRT18P3,0,0.042644337,0,0.070389328,0.042644337,0.124328135
KRT18P31,0.084064265,0.124328135,0.150559677,0.097610797,0.084064265,0.084064265
KRT18P32,0,0,0,0,0,0
KRT18P33,0,0,0,0,0,0
KRT18P34,0.042644337,0.084064265,0,0,0,0
KRT18P35,0,0,0,0,0,0
KRT18P36,0,0,0,0,0,0
KRT18P37,0,0,0,0.028569152,0,0.097610797
KRT18P38,0.422233001,0.263034406,0.321928095,0.344828497,0.137503524,0.298658316
KRT18P39,0,0,0.042644337,0.028569152,0,0
KRT18P4,0.475084883,0.555816155,0.189033824,0.839959587,0.887525271,0.807354922
KRT18P40,0.070389328,0,0,0.042644337,0,0
KRT18P41,0,0.084064265,0.042644337,0,0,0
KRT18P42,0,0,0,0,0,0
KRT18P43,0,0,0,0,0,0
KRT18P44,0,0,0,0,0,0
KRT18P45,0,0,0,0,0,0
KRT18P46,0.275007047,0.163498732,0.111031312,0,0,0
KRT18P47,0,0,0,0,0,0
KRT18P48,0.137503524,0.124328135,0.22650853,0.176322773,0.150559677,0.250961574
KRT18P49,0,0,0,0,0,0
KRT18P5,0.124328135,0.084064265,0.150559677,0.042644337,0.40053793,0.250961574
KRT18P50,0,0,0,0,0,0
KRT18P51,0,0,0,0,0,0
KRT18P52,0.070389328,0,0,0.111031312,0.070389328,0
KRT18P53,0,0,0,0,0,0
KRT18P54,0,0,0,0,0,0
KRT18P55,0,0.176322773,0.150559677,0.150559677,0.042644337,0.070389328
KRT18P56,0,0,0,0,0,0
KRT18P57,0.042644337,0,0,0,0,0
KRT18P58,0,0,0,0,0,0
KRT18P59,0.124328135,0.163498732,0.189033824,0.176322773,0.084064265,0.097610797
KRT18P6,0,0,0,0,0,0
KRT18P60,0,0,0,0,0,0
KRT18P61,0.042644337,0,0,0,0,0
KRT18P62,0,0,0,0,0,0
KRT18P63,0,0,0,0,0,0.014355293
KRT18P64,0,0,0.042644337,0,0,0
KRT18P65,0,0,0,0.028569152,0.084064265,0
KRT18P66,0,0,0,0,0,0
KRT18P67,0,0,0,0,0,0
KRT18P68,0,0.111031312,0,0.097610797,0,0.042644337
KRT18P7,0.042644337,0,0,0,0,0
KRT18P8,0.042644337,0,0,0.028569152,0,0
KRT18P9,0,0,0,0,0,0
KRT19,11.2952581,11.52655792,11.5969398,9.028652025,9.179137788,9.365010077
KRT19P1,0.137503524,0.137503524,0.084064265,0.028569152,0,0.097610797
KRT19P2,0.056583528,0,0,0.124328135,0,0
KRT19P3,0,0,0,0,0,0
KRT19P4,0,0,0,0,0,0
KRT19P6,0,0,0,0,0,0
KRT2,0.042644337,0.111031312,0.097610797,0.070389328,0.214124805,0.028569152
KRT20,0.150559677,0.250961574,0.23878686,0.056583528,0.028569152,0.070389328
KRT222,0.097610797,0.097610797,0.056583528,0.042644337,0.042644337,0.028569152
KRT223P,0.137503524,0.23878686,0,1.59454855,1.650764559,1.655351829
KRT23,0.50589093,0.757023247,0.565597176,0.014355293,0,0.056583528
KRT24,0.163498732,0.056583528,0.070389328,0.739848103,1.007195501,0.871843649
KRT25,0,0,0,0,0,0
KRT26,0,0,0,0.014355293,0,0
KRT27,0,0,0,0,0,0
KRT28,0,0,0,0,0,0
KRT3,0,0,0.014355293,0,0,0.014355293
KRT31,0.028569152,0.028569152,0.028569152,0,0,0
KRT32,0.59454855,0.604071324,0.454175893,0.097610797,0.150559677,0.111031312
KRT33A,0,0,0,0,0,0.028569152
KRT33B,0,0,0,0,0,0
KRT34,0,0,0,0,0,0
KRT35,0,0,0,0,0,0
KRT36,0,0.028569152,0,0.042644337,0,0
KRT37,0.23878686,0.201633861,0.310340121,0.014355293,0,0
KRT38,0,0.028569152,0,0,0,0
KRT39,0,0,0,0.124328135,0.028569152,0.111031312
KRT4,0.163498732,0.028569152,0.028569152,0.070389328,0.056583528,0.028569152
KRT40,0,0,0,0,0,0
KRT41P,0,0.084064265,0.042644337,0,0,0
KRT42P,0,0,0,0.070389328,0,0
KRT43P,0.070389328,0,0,0,0,0
KRT5,0.042644337,0.137503524,0.028569152,0.014355293,0,0
KRT6A,0.028569152,0.084064265,0.124328135,0,0,0
KRT6B,0,0,0,0.014355293,0,0.014355293
KRT6C,0,0,0,0,0,0
KRT7,4.98458935,5.225352061,5.582254908,5.553667688,5.424250286,5.694880193
KRT71,0,0,0,0.014355293,0.042644337,0.084064265
KRT72,0.097610797,0,0.097610797,0,0,0
KRT73,0,0.042644337,0.042644337,0,0,0
KRT73-AS1,0,0,0,0,0,0
KRT74,0,0,0,0.056583528,0.042644337,0.014355293
KRT75,0,0,0,0.014355293,0,0.014355293
KRT76,0,0,0,0.014355293,0,0
KRT77,0,0,0,0,0,0
KRT78,0,0.028569152,0.176322773,0.056583528,0.250961574,0.097610797
KRT79,0,0,0.028569152,0,0,0
KRT8,13.07393401,13.49765103,13.47772159,12.39261259,12.45035812,12.73532331
KRT80,6.720552092,6.995032192,6.980596597,7.317774373,6.255123015,7.02657877
KRT81,4.038260575,4.070389328,3.844988157,10.34281916,10.2933107,10.76171743
KRT82,0,0,0,0,0,0
KRT83,1.427606173,1.333423734,1.182692298,1.807354922,1.263034406,1.799087306
KRT84,0,0,0,0.014355293,0,0
KRT85,0.056583528,0.070389328,0.042644337,0.042644337,0,0
KRT86,3.23572706,3.196921734,3.021479727,4.665620164,3.703765179,4.659924558
KRT87P,0.124328135,0.189033824,0.214124805,3.638073837,2.711494907,4.072963272
KRT8P1,0,0,0,0,0,0
KRT8P10,0.782408565,1.077242999,0.748461233,0.432959407,0.50589093,0.389566812
KRT8P11,0.070389328,0.070389328,0.028569152,0.084064265,0,0
KRT8P12,2.13093087,2.908812908,2.608809243,1.722466024,1.933572638,2.087462841
KRT8P13,0.111031312,0.056583528,0,0.097610797,0.201633861,0.084064265
KRT8P14,0.042644337,0.042644337,0,0.014355293,0,0
KRT8P15,0,0,0.028569152,0.014355293,0.042644337,0
KRT8P17,0,0,0.070389328,0,0,0.056583528
KRT8P18,0,0,0,0.014355293,0,0
KRT8P19,0,0,0,0,0,0
KRT8P2,0.124328135,0.111031312,0,0,0,0
KRT8P20,0,0,0,0,0,0
KRT8P21,0,0,0,0,0,0
KRT8P22,0.042644337,0,0.070389328,0.443606651,0.124328135,0.298658316
KRT8P23,0,0,0,0,0,0
KRT8P24,0,0,0,0,0,0
KRT8P25,0,0,0,0,0,0
KRT8P26,0,0,0,0,0,0
KRT8P27,0,0,0,0,0,0
